,artist,title,stream_count
0,massive attack,mezzanine,231115528
1,krallice,prelapsarian,53866
2,uranium club,all of them naturals,975707
4,taso,new start,196363
5,various artists,insecure (music from the hbo original series),447163706
6,little simz,stillness in wonderland,20851469
7,yotam avni,tehillim,33449
8,brian eno,reflection,856016
10,harry bertoia,clear sounds/perfetta,3830
11,run the jewels,run the jewels 3,192181695
12,steven warwick,nadir,45637
14,"smoke dza, pete rock",don't smoke rock,9013587
18,jamire williams,///// effectual,38185
19,the-dream,love you to death,16936653
20,worm ouroboros,what graceless dawn,53017
22,elder ones,holy science,8170
23,the microphones,"early tapes, 1996-1998",737475
24,ben frost,the wasp factory,138215
25,kacey musgraves,a very kacey christmas,22531992
26,jay som,turn into,6902416
27,rashad becker,traditional music of notional species vol. ii,100135
29,ab-soul,do what thou wilt.,92906310
30,pantera,the great southern trendkill,39428216
31,gucci mane,the return of east atlanta santa,339572240
33,kid cudi,"passion, pain & demon slayin",237450040
34,sammus,pieces in space,1090946
35,hodgy,fireplace: thenottheotherside,4757128
37,a-trak,in the loop: a decade of remixes,2937885
38,jess williamson,heart song,914174
39,kevin abstract,american boyfriend: a suburban love story,101089670
40,adr,throat,76436
41,deadmau5,w:/2016album/,78915068
42,jessy lanza,oh no no no remixes ep,374465
43,peter broderick,grunewald,35430848
44,qasim naqvi,chronology,1176
45,post malone,stoney,5021443696
49,j. cole,4 your eyez only,1089386792
51,flume,skin companion ep i,23854478
53,jeff buckley,sketches for my sweetheart the drunk,24906390
54,various artists,the hamilton mixtape,203198208
55,saba,bucket list project,92448713
57,simian mobile disco,welcome to sideways,1147420
61,blessed initiative,blessed initiative,35299
62,neil young,peace trail,11865205
63,soundgarden,badmotorfinger,95401273
64,nick hook,relationships,1667984
66,the rolling stones,blue & lonesome,63357832
69,alex izenberg,harlequin,2579777
70,childish gambino,"awaken, my love",991162276
72,miranda lambert,the weight of these wings,172407022
73,denitia and sene,love and noir.,1366105
74,john legend,darkness and light,417790901
76,coldcut,only heaven,954503
77,"joan as police woman, benjamin lazar davis",let it be you,2371039
78,brand new,the devil and god are raging inside me,119432729
79,sun ra,singles,2848009
81,"mica levi, oliver coates",remain calm,831197
82,jay daniel,broken knowz,1607538
83,r.e.m.,out of time,520454032
84,bruno mars,24k magic,2750604956
85,keita sano,keita sano,45012
86,tredici bacci,amore per tutti,37154
87,burial,young death / nightmarket,1338804
88,yg,red friday,86855225
89,you blew it!,abendrot,1734204
90,suzanne kraft,what you get for being young,379065
91,the weeknd,starboy,4518069613
92,various artists,"pc music, vol. 2",14824630
93,monster rally,mystery cove,4259344
94,"steve reich, terry riley",six pianos / keyboard study #1,209113
95,justice,woman,20135416
96,demdike stare,wonderland,654857
98,rainbow arabia,l.a. heartbreak,73733
99,kate bush,before the dawn,763915
101,meredith monk,on behalf of nature,590540
102,pavo pavo,young narrator in the breakers,1527638
103,via app,sixth stitch,118836
104,ice cube,death certificate,133222940
105,dawn richard,redemption,4001306
107,sarah davachi,vergers,234231
110,gillian welch,boots no. 1: the official revival bootleg,7358702
111,jeff rosenstock,worry.,17888374
112,kristin hersh,wyatt at the coyote palace,252480
113,metallica,hardwired...to self-destruct,336290954
115,mike watt,ring spiel tour 95,90451
116,daniel bachman,daniel bachman,1401212
117,autechre,incunabula,3533139
118,body/head,no waves,28921
119,his name is alive,patterns of light,41990
120,radian,on dark silent off,119383
122,leonard cohen,im your man,61062209
123,tinashe,nightride,53843426
124,various artists,"the microcosm: visionary music of continental europe, 1970-1986",755926
125,papa m,highway songs,32132
126,yaroze dream suite,yaroze dream suite,46969
127,thee oh sees,an odd entrances,211028
129,marching church,telling it like it is,1406691
130,devonwho,luz,593863
131,a tribe called quest,we got it from here... thank you 4 your service,178189805
132,sad13,slugger,681855
133,j.g. biberkopf,ecologies ii: ecosystems of excess,42821
134,animals as leaders,the madness of many,22478153
135,washington phillips,washington phillips and his manzarene dreams,261875
136,dedekind cut,$uccessor (ded004),847003
137,michael mayer,&,5331254
144,bibi bourelly,free the real (pt. 2),22393462
145,loscil,monument builders,3867002
146,peter stampfel,holiday for strings,0
147,"okkyung lee, christian marclay",amalgam,4805
148,minutemen,double nickels on the dime,29363174
150,the men,devil music,452965
151,oren ambarchi,hubris,117203
152,jacuzzi boys,ping pong,1103886
154,kool a.d.,have a nice dream,370401
155,rachel's,systems/layers,4794081
156,helmet,dead to the world,1083290
157,alicia keys,here,100881690
158,topaz jones,arcade,13904903
159,gaika,spaghetto,666049
160,uniform,ghosthouse ,32626
161,the chainsmokers,collage ,3520438812
162,tyvek,origin of what,190103
163,tim buckley,"lady, give me your key: the unissued 1967 solo acoustic sessions",1272836
165,sleigh bells,jessica rabbit,7826588
166,jeezy,trap or die 3,84172877
167,shirley collins,lodestar,284245
168,kadhja bonet,the visitor ,8578350
169,soft hair,soft hair,11985714
170,jim james,eternally even,23734279
171,a$ap mob,cozy tapes vol. 1: friends-,259679364
172,lou barlow,apocalypse fetish,153611
173,mannequin pussy,romantic,3227237
174,abba,arrival,471567238
175,fugees,blunted on reality,23084775
177,oddcouple,liberation,345316
179,common,black america again,16128414
180,ricky eat acid,talk to you soon,1333885
182,carla dal forno,you know what its like,2126508
183,pussy riot,xxx,3163687
186,the olympians,the olympians,10787687
187,meek mill,dc4,332809233
189,kassem mosse,disclosure,161037
190,the dillinger escape plan,dissociation,8761844
192,american wrestlers,goodbye terrible youth,475165
193,tove lo,lady wood,147796305
194,steve hauschildt,strands,990645
195,lambchop,flotus,6753726
197,dj rude one,onederful,169053
199,khemmis,hunted,1566277
200,bob dylan,blood on the tracks,129423375
201,joe budden,rage & the machine,10735785
202,gord downie,secret path,1873864
203,roy montgomery,r m h q: headquarters,213837
204,"patrick cowley, candida royalle",candida cosmica,36919
206,the radio dept.,running out of love,7741464
207,luis,dreamt takes,69497
208,donny mccaslin,beyond now,647465
210,david crosby,lighthouse,4186659
211,jojo,mad love.,190078012
212,n.m.o.,nordic mediterranean organization / numerous miscommunications occur,10560
213,american football,american football,36177938
215,jubilee,after hours,665655
216,crying,beyond the fleeting gales,2812402
217,lady gaga,joanne,940297173
218,tanya tagaq,retribution,439028
219,oval,popp,157996
221,leonard cohen,you want it darker,87861812
222,male bonding,headache,71389
223,savoy motel,savoy motel,746753
224,oozing wound,whatever forever,169135
225,from indian lakes,everything feels better now,7647179
226,ramones,end of the century,42385055
227,jimmy eat world,integrity blues,35671033
228,various artists,say yes! a tribute to elliott smith,1168006
