reviewid,genre,count_of_genre
22703,electronic,1
22721,metal,1
22659,rock,1
22661,rock,1
22725,electronic,1
22722,,0
22704,rap,1
22694,electronic,1
22714,experimental,1
22724,rap,1
22715,experimental,1
22745,rap,1
22700,electronic,1
22720,rap,1
22699,rap,1
22665,,0
22666,experimental,1
22719,rap,2
22719,pop/r&b,2
22667,experimental,1
22691,rap,2
22691,pop/r&b,2
22702,metal,1
22718,rock,1
22706,experimental,1
22695,rock,2
22695,experimental,2
22713,electronic,1
22705,folk/country,1
22532,rock,1
22701,electronic,1
22707,jazz,1
22708,rap,1
22559,metal,1
22692,rap,1
22677,experimental,1
22469,rock,2
22469,rap,2
22711,rap,1
22678,rap,1
22664,jazz,1
22685,rap,2
22685,electronic,2
22690,,0
22689,rap,1
22697,,0
22681,electronic,1
22698,pop/r&b,1
22684,experimental,1
22693,experimental,1
22686,rap,1
22643,rock,1
22640,electronic,1
22688,electronic,1
22696,rap,1
22663,rock,1
22687,electronic,1
22662,global,1
22317,rock,1
22673,,0
22655,rap,1
22593,,0
22627,rock,2
22627,electronic,2
22555,electronic,1
22682,rap,1
22679,global,1
22657,electronic,1
22654,rock,1
22631,rock,1
22683,electronic,1
22635,experimental,1
22653,rock,1
22672,rap,1
22536,electronic,1
22676,pop/r&b,1
22671,rap,1
22675,rap,1
22680,folk/country,1
22641,pop/r&b,1
22645,pop/r&b,1
22393,rock,2
22393,experimental,2
22660,jazz,2
22660,electronic,2
22553,rock,2
22553,pop/r&b,2
22626,rock,1
22639,jazz,1
22658,rock,1
22638,experimental,1
22656,electronic,1
22669,rock,1
22634,pop/r&b,1
22632,electronic,1
22652,jazz,1
22674,experimental,2
22674,electronic,2
22670,rap,1
22646,rock,1
22535,electronic,1
22668,pop/r&b,1
22650,,0
22651,electronic,1
22596,experimental,1
22644,electronic,1
22649,electronic,1
22583,electronic,1
22595,pop/r&b,1
22467,pop/r&b,1
22613,rap,1
22620,experimental,1
22633,pop/r&b,1
22597,electronic,1
22561,rap,1
22648,pop/r&b,1
22531,rock,2
22531,experimental,2
22533,electronic,1
22637,experimental,1
22647,rap,1
22614,rock,1
22622,rock,1
22636,rock,1
22629,metal,1
22534,electronic,1
22565,rock,1
22395,folk/country,1
22592,electronic,1
22598,rock,1
22628,rock,1
22624,rock,1
22619,rock,2
22619,experimental,2
22642,rock,1
22603,pop/r&b,1
22594,,0
22630,rock,1
22552,electronic,1
22625,rock,1
22618,electronic,1
22602,rock,1
22621,rap,1
22607,rap,1
22611,pop/r&b,1
22616,electronic,1
22617,metal,1
22401,folk/country,1
22394,experimental,1
22457,electronic,1
22501,experimental,1
22612,rap,1
22525,folk/country,1
22610,pop/r&b,1
22518,experimental,1
22527,experimental,1
22623,pop/r&b,1
22563,rock,3
22563,global,3
22563,electronic,3
22505,folk/country,1
22465,rock,4
22465,jazz,4
22465,experimental,4
22465,electronic,4
22506,rock,1
22581,,0
22519,rock,1
22608,experimental,1
22573,rock,1
22609,electronic,1
22605,rap,1
22606,rock,1
22502,metal,1
22582,pop/r&b,1
22604,rap,1
22585,rap,1
22560,rock,1
22589,electronic,1
22584,,0
22392,rock,1
22347,jazz,1
22571,pop/r&b,1
22586,rap,1
22587,folk/country,1
22550,pop/r&b,1
22464,pop/r&b,1
22570,rock,1
22599,rap,1
22558,rock,1
22415,rock,1
22600,pop/r&b,1
22566,rap,1
22520,jazz,2
22520,experimental,2
22574,rap,1
22452,rock,1
22588,rap,1
22455,electronic,1
22480,rap,1
22543,electronic,1
22579,rock,1
22576,experimental,1
22569,pop/r&b,1
22556,pop/r&b,1
22575,rap,1
22554,jazz,1
22528,electronic,1
22540,metal,1
22374,rock,1
22562,rock,1
22578,pop/r&b,1
22414,electronic,1
22498,rock,1
22413,electronic,1
22572,rap,1
22462,electronic,1
22557,metal,1
22485,rock,1
22547,rap,1
22537,rock,1
22441,rock,1
22517,electronic,1
22523,rap,1
22551,pop/r&b,1
22568,electronic,1
22483,jazz,1
22567,,0
22549,rock,1
22545,pop/r&b,1
22546,electronic,1
22526,rock,1
22529,rock,1
22500,electronic,1
22548,electronic,1
22524,pop/r&b,1
22324,rock,1
22442,experimental,2
22442,electronic,2
22516,jazz,1
22514,rock,1
22542,,0
22454,rock,1
22436,,0
22377,rock,1
22291,rock,1
22378,rock,1
22541,,0
22503,metal,1
22479,rock,1
22522,rap,1
22515,electronic,1
22530,electronic,1
22507,rap,1
22521,rock,1
22512,electronic,1
22508,rock,1
22509,folk/country,1
22463,rock,1
22513,rap,1
22412,electronic,1
22504,,0
22389,pop/r&b,1
22499,rock,1
22495,metal,1
22461,global,1
22494,pop/r&b,1
22440,folk/country,1
22496,rock,1
22497,jazz,1
22458,rock,1
22308,rock,1
22390,electronic,1
22511,rap,1
22493,electronic,1
22339,rock,1
22490,electronic,1
22404,rock,1
22372,global,1
22411,electronic,1
22348,rock,1
22391,rap,1
22410,electronic,1
22492,rock,1
22488,rock,1
22477,rock,1
22489,pop/r&b,1
22438,electronic,1
22323,folk/country,1
22307,jazz,2
22307,pop/r&b,2
22486,rap,1
22478,global,2
22478,rap,2
22474,rock,1
22450,experimental,1
22449,folk/country,1
22460,metal,1
22439,metal,1
22253,pop/r&b,1
22318,rock,1
22445,electronic,1
22484,rap,1
22466,metal,1
22429,pop/r&b,1
22451,rock,1
22471,pop/r&b,1
22470,electronic,1
22437,rock,1
22475,pop/r&b,1
22476,metal,1
22472,experimental,1
22482,pop/r&b,1
22376,rock,1
22459,experimental,1
22375,electronic,1
22314,experimental,1
22362,folk/country,1
22435,global,1
22373,metal,1
22447,pop/r&b,1
22468,rap,1
22446,rap,1
22299,jazz,1
22434,experimental,1
22292,rock,1
22368,rock,1
22430,electronic,1
22346,experimental,1
22388,electronic,1
22420,rock,1
