reviewid,artist,url,p_score,best_new_music,author,author_type,pub_date,pub_weekday,pub_day,pub_month,pub_year,genre,album,year,m_critic_score,m_user_score,comment
22704,little simz,http://pitchfork.com/reviews/albums/22704-little-simz-stillness-in-wonderland/,7.1,0,katherine st. asaph,contributor,2017-01-05,3,5,1,2017,rap,stillness in wonderland,"Dec 16, 2016",84.0,8.3,
22714,brian eno,http://pitchfork.com/reviews/albums/22714-reflection/,7.7,0,andy beta,contributor,2017-01-04,2,4,1,2017,experimental,reflection,"Jan 1, 2017",75.0,7.6,
22745,run the jewels,http://pitchfork.com/reviews/albums/22745-run-the-jewels-3/,8.6,1,sheldon pearce,associate staff writer,2017-01-03,1,3,1,2017,rap,run the jewels 3,"Dec 25, 2016",88.0,8.8,
22692,gucci mane,http://pitchfork.com/reviews/albums/22692-the-return-of-east-atlanta-santa/,7.6,0,renato pagnani,contributor,2016-12-21,2,21,12,2016,rap,the return of east atlanta santa,"Dec 16, 2016",70.0,5.5,
22678,hodgy,http://pitchfork.com/reviews/albums/22678-fireplace-thenottheotherside/,5.0,0,matthew strauss,associate editor,2016-12-19,0,19,12,2016,rap,fireplace: thenottheotherside,"Dec 23, 2016",69.0,7.6,
22681,deadmau5,http://pitchfork.com/reviews/albums/22681-w2016album/,5.9,0,philip sherburne,contributing editor,2016-12-16,4,16,12,2016,electronic,w:/2016album/,"Dec 2, 2016",63.0,6.8,
22555,gas,http://pitchfork.com/reviews/albums/22555-gas-box/,9.5,1,andy beta,contributor,2016-12-09,4,9,12,2016,electronic,box,"Oct 28, 2016",93.0,7.7,
22654,neil young,http://pitchfork.com/reviews/albums/22654-peace-trail/,6.7,0,sam sodomsky,associate staff writer,2016-12-08,3,8,12,2016,rock,peace trail,"Dec 9, 2016",57.0,4.4,
22680,miranda lambert,http://pitchfork.com/reviews/albums/22680-the-weight-of-these-wings/,7.8,0,sam sodomsky,associate staff writer,2016-12-06,1,6,12,2016,folk/country,the weight of these wings,"Nov 18, 2016",81.0,7.3,
22645,john legend,http://pitchfork.com/reviews/albums/22645-darkness-and-light/,7.0,0,marcus j. moore,contributor,2016-12-05,0,5,12,2016,pop/r&b,darkness and light,"Dec 2, 2016",76.0,6.7,
22626,brand new,http://pitchfork.com/reviews/albums/22626-the-devil-and-god-are-raging-inside-me/,8.5,0,ian cohen,contributor,2016-12-04,6,4,12,2016,rock,the devil and god are raging inside me,"Nov 21, 2006",78.0,8.8,
