artist,album,year,critic_score,user_score,comment
the the,soul mining (30th anniversary deluxe edition) [box set],"Jul 1, 2014",92.0,8.1,
the the,nakedself,"Feb 29, 2000",75.0,7.4,
doug martsch,now you know,"Sep 17, 2002",74.0,8.1,
non,bangai-o hd: missile fury (x360),"May 4, 2011",78.0,7.7,
the anniversary,your majesty,"Jan 22, 2002",73.0,7.5,
takagi masakatsu,lumines ii (psp),"Nov 6, 2006",81.0,7.6,
john parish,stonechild,"Jul 5, 2019",82.0,7.4,
john parish,innocence is kinky,"May 14, 2013",87.0,8.5,
vincent gallo,loosies,"Jan 11, 2012",35.0,6.3,
vincent gallo,metropia,"May 12, 2010",47.0,6.1,
vincent gallo,tetro,"Jun 11, 2009",65.0,6.6,
vincent gallo,trouble every day,"Nov 30, 2001",40.0,6.7,
sasha,airdrawndagger,"Aug 6, 2002",64.0,8.6,
cinerama,disco volante,"Oct 24, 2000",71.0,8.8,
chris smith,infamous: second son (ps4),"Mar 21, 2014",80.0,8.0,
chris smith,lightning returns: final fantasy xiii (x360),"Feb 11, 2014",69.0,6.7,
chris smith,lightning returns: final fantasy xiii (ps3),"Feb 11, 2014",66.0,6.1,
chris smith,bravely default (3ds),"Feb 7, 2014",85.0,8.5,
chris smith,teenage mutant ninja turtles: out of the shadows (x360),"Aug 28, 2013",38.0,5.3,
chris smith,fire emblem: awakening (3ds),"Feb 4, 2013",92.0,9.1,
chris smith,ninja gaiden 3: razor's edge (wiiu),"Nov 18, 2012",69.0,7.5,
chris smith,steel battalion: heavy armor (x360),"Jun 19, 2012",38.0,2.5,
chris smith,ninja gaiden 3 (ps3),"Mar 20, 2012",58.0,4.9,
chris smith,blood drive (ps3),"Nov 2, 2010",47.0,7.0,
chris smith,xenosaga episode ii: jenseits von gut und bose (ps2),"Feb 15, 2005",73.0,7.5,
chris smith,enter the matrix (gc),"May 14, 2003",63.0,8.0,
chris smith,xenosaga episode i: der wille zur macht (ps2),"Feb 26, 2003",83.0,8.7,
chris smith,tom clancy's splinter cell (pc),"Feb 19, 2003",91.0,8.5,
chris smith,tom clancy's splinter cell (xbox),"Nov 17, 2002",93.0,8.6,
the reverend horton heat,rev,"Jan 21, 2014",80.0,4.7,
the reverend horton heat,lucky 7,"Feb 26, 2002",67.0,8.3,
the joggers,with a cape and a cane,"Sep 27, 2005",70.0,7.9,
the band,music from big pink [50th anniversary],"Aug 31, 2018",99.0,7.8,
the band,the basement tapes complete: the bootleg series vol. 11,"Nov 4, 2014",99.0,7.6,
the band,live at the academy of music 1971,"Sep 17, 2013",92.0,7.1,
rev run,madden nfl 06 (x360),"Nov 16, 2005",74.0,5.2,
rev run,madden nfl 06 (ps2),"Aug 8, 2005",88.0,8.0,
rev run,madden nfl 06 (xbox),"Aug 8, 2005",86.0,6.8,
joan of arc,he's got the whole this land is your land in his hands,"Jan 20, 2017",60.0,5.3,
joan of arc,"joan of arc, dick cheney, mark twain...","Aug 24, 2004",70.0,8.6,
ninja high school,young adults against suicide,"Oct 18, 2005",59.0,7.4,
talking heads,the name of this band is talking heads [2004 version],"Aug 17, 2004",93.0,8.9,
talking heads,once in a lifetime,"Nov 18, 2003",83.0,8.3,
deus,keep you close,"Oct 3, 2011",70.0,7.2,
deus,vantage point,"Apr 21, 2008",66.0,8.3,
paul wall,i hope they serve beer in hell,"Sep 25, 2009",26.0,4.6,
armand van helden,quack,"Apr 15, 2014",76.0,8.1,
marjorie fair,self help serenade,"Jul 19, 2005",68.0,8.0,
american analog set,set free,"Sep 20, 2005",72.0,8.4,
american analog set,promise of love,"Jun 17, 2003",72.0,7.8,
damian marley,stony hill,"Jul 21, 2017",72.0,7.2,
ok go,hungry ghosts,"Oct 14, 2014",74.0,7.9,
ok go,of the blue colour of the sky,"Jan 12, 2010",67.0,8.5,
ok go,oh no,"Aug 30, 2005",64.0,8.5,
emmylou harris,linda ronstadt: the sound of my voice,"Sep 6, 2019",77.0,7.3,
emmylou harris,the king,"Jun 22, 2018",70.0,5.2,
emmylou harris,neil young: heart of gold,"Feb 10, 2006",85.0,8.5,
june carter cash,my father and the man in black,"Sep 6, 2013",57.0,5.4,
june carter cash,the apostle,"Dec 17, 1997",83.0,8.2,
keiji haino,imikuzushi,"Feb 28, 2012",82.0,8.0,
minotaur shock,maritime,"Aug 9, 2005",76.0,8.2,
iron maiden,the book of souls,"Sep 4, 2015",80.0,8.6,
iron maiden,the final frontier,"Aug 17, 2010",71.0,8.3,
i am kloot,let it all in,"Jan 21, 2013",79.0,7.1,
i am kloot,sky at night,"Jul 13, 2010",82.0,8.0,
i am kloot,gods and monsters,"Aug 23, 2005",68.0,6.8,
adam green,hatchet iii,"Jun 14, 2013",25.0,5.3,
adam green,hatchet ii,"Oct 1, 2010",49.0,7.3,
adam green,spiral,"Feb 8, 2008",40.0,8.1,
adam green,hatchet,"Sep 7, 2007",57.0,6.5,
adam green,color of the cross,"Nov 10, 2006",34.0,4.8,
clem snide,end of love,"Feb 22, 2005",78.0,8.8,
cave in,white silence,"May 24, 2011",80.0,7.7,
cave in,antenna,"Mar 18, 2003",78.0,8.0,
juliana hatfield,pussycat,"Apr 28, 2017",84.0,7.0,
juliana hatfield,there's always another girl,"Aug 30, 2011",75.0,8.8,
juliana hatfield,how to walk away,"Aug 19, 2008",72.0,8.3,
