artist,title,neg,neu,pos,compound
massive attack,mezzanine,0.101,0.8,0.098,-0.4302
krallice,prelapsarian,0.077,0.87,0.053,-0.8661
uranium club,all of them naturals,0.049,0.866,0.084,0.9504
"kleenex, liliput",first songs,0.077,0.7759999999999999,0.14800000000000002,0.9987
taso,new start,0.012,0.862,0.127,0.9968
various artists,insecure (music from the hbo original series),0.056,0.784,0.16,0.9979
little simz,stillness in wonderland,0.033,0.833,0.134,0.9962
yotam avni,tehillim,0.037000000000000005,0.862,0.1,0.986
brian eno,reflection,0.032,0.882,0.086,0.9913
the lox,filthy america its beautiful,0.08199999999999999,0.792,0.126,0.9943
harry bertoia,clear sounds/perfetta,0.06,0.795,0.146,0.9932
run the jewels,run the jewels 3,0.15,0.711,0.139,-0.9608
steven warwick,nadir,0.093,0.83,0.077,-0.8896
yasiin bey,december 99th,0.104,0.8,0.097,-0.6601
"smoke dza, pete rock",don't smoke rock,0.057,0.845,0.097,0.9704
various artists,punk45: les punks: the french connection (the first wave of french punk 1977-80),0.064,0.846,0.09,0.9756
senyawa,brnshj (puncak),0.041,0.872,0.087,0.985
"chance the rapper, jeremih",merry christmas lil mama,0.031,0.745,0.224,0.9996
jamire williams,///// effectual,0.051,0.8440000000000001,0.105,0.9901
the-dream,love you to death,0.105,0.748,0.147,0.9709
worm ouroboros,what graceless dawn,0.099,0.823,0.078,-0.9518
nine inch nails,not the actual events ep,0.086,0.78,0.134,0.9929
elder ones,holy science,0.079,0.785,0.136,0.992
the microphones,"early tapes, 1996-1998",0.075,0.8220000000000001,0.103,0.9786
ben frost,the wasp factory,0.087,0.841,0.07200000000000001,-0.9313
kacey musgraves,a very kacey christmas,0.033,0.802,0.165,0.999
jay som,turn into,0.069,0.868,0.063,-0.7351
rashad becker,traditional music of notional species vol. ii,0.029,0.909,0.063,0.9051
ray charles,swiss radio days vol. 41 - zurich 1961,0.046,0.853,0.101,0.9923
ab-soul,do what thou wilt.,0.121,0.7709999999999999,0.108,-0.9341
pantera,the great southern trendkill,0.117,0.762,0.121,0.8923
gucci mane,the return of east atlanta santa,0.044,0.838,0.118,0.9939
mica levi,jackie ost,0.083,0.846,0.071,-0.8759
kid cudi,"passion, pain & demon slayin",0.114,0.7659999999999999,0.12,0.1744
sammus,pieces in space,0.078,0.816,0.106,0.9815
hodgy,fireplace: thenottheotherside,0.092,0.789,0.119,0.9891
jeff parker,slight freedom,0.044,0.872,0.085,0.9866
a-trak,in the loop: a decade of remixes,0.046,0.8740000000000001,0.08,0.9772
jess williamson,heart song,0.057,0.7859999999999999,0.157,0.9966
kevin abstract,american boyfriend: a suburban love story,0.104,0.779,0.117,0.8999
adr,throat,0.073,0.85,0.077,0.5866
deadmau5,w:/2016album/,0.063,0.8170000000000001,0.12,0.9962
jessy lanza,oh no no no remixes ep,0.09,0.7709999999999999,0.139,0.9865
peter broderick,grunewald,0.031,0.855,0.115,0.9928
qasim naqvi,chronology,0.034,0.862,0.104,0.9801
post malone,stoney,0.08199999999999999,0.789,0.129,0.9852
bob dylan,bob dylan: the 1966 live recordings,0.038,0.882,0.08,0.998
"ricardo villalobos, umho",melo de melo ep,0.028,0.867,0.105,0.9834
peder mannerfelt,equality now ep,0.032,0.915,0.053,0.7096
j. cole,4 your eyez only,0.061,0.88,0.059,-0.5688
pink floyd,the early years 1965-1972,0.025,0.91,0.064,0.9942
flume,skin companion ep i,0.033,0.878,0.08900000000000001,0.9888
gaye su akyol,hologram mparatorluu,0.062,0.8490000000000001,0.08900000000000001,0.9032
jeff buckley,sketches for my sweetheart the drunk,0.073,0.7879999999999999,0.139,0.9997
various artists,the hamilton mixtape,0.078,0.813,0.11,0.9283
saba,bucket list project,0.08,0.8,0.12,0.9643
various artists,bobo yy: belle poque in upper volta,0.047,0.867,0.087,0.9944
simian mobile disco,welcome to sideways,0.066,0.831,0.103,0.9718
gas,box,0.044,0.8809999999999999,0.07400000000000001,0.9943
kodie shane,zero gravity ep,0.024,0.862,0.114,0.9962
the orchestra of syrian musicians,africa express presents... the orchestra of syrian musicians & guests,0.08900000000000001,0.81,0.101,0.7755
blessed initiative,blessed initiative,0.044,0.8440000000000001,0.112,0.9931
neil young,peace trail,0.075,0.7709999999999999,0.154,0.9963
soundgarden,badmotorfinger,0.046,0.871,0.083,0.9936
nick hook,relationships,0.05,0.845,0.105,0.9849
kjartan sveinsson,der klang der offenbarung des gttlichen,0.043,0.833,0.124,0.9973
the rolling stones,blue & lonesome,0.08,0.8029999999999999,0.117,0.9909
"gucci mane, lil uzi vert",1017 vs. the world,0.054000000000000006,0.809,0.138,0.9942
young male,how to disappear in america,0.07200000000000001,0.888,0.04,-0.9658
alex izenberg,harlequin,0.08800000000000001,0.752,0.16,0.9937
childish gambino,"awaken, my love",0.053,0.794,0.153,0.9976
fetty wap,zoovier,0.052000000000000005,0.772,0.17600000000000002,0.998
miranda lambert,the weight of these wings,0.06,0.83,0.11,0.9906
denitia and sene,love and noir.,0.04,0.861,0.099,0.9842
john legend,darkness and light,0.081,0.7609999999999999,0.158,0.9948
"yoko ono, john lennon",unfinished music no. 1: two virgins,0.049,0.862,0.08900000000000001,0.9918
coldcut,only heaven,0.079,0.8170000000000001,0.104,0.9714
"joan as police woman, benjamin lazar davis",let it be you,0.08,0.7879999999999999,0.132,0.9928
brand new,the devil and god are raging inside me,0.163,0.7190000000000001,0.119,-0.9995
sun ra,singles,0.037000000000000005,0.8640000000000001,0.099,0.9977
dungen,hxan,0.07200000000000001,0.785,0.14400000000000002,0.9895
"mica levi, oliver coates",remain calm,0.043,0.8290000000000001,0.128,0.9948
jay daniel,broken knowz,0.047,0.863,0.09,0.9714
r.e.m.,out of time,0.025,0.848,0.127,0.9986
bruno mars,24k magic,0.033,0.85,0.117,0.9973
keita sano,keita sano,0.045,0.82,0.135,0.9903
tredici bacci,amore per tutti,0.037000000000000005,0.8490000000000001,0.114,0.9904
burial,young death / nightmarket,0.027000000000000003,0.847,0.125,0.9957
