artist,album,year,critic_score,user_score,comment
melochrome,,,,,artist not found!
jets to brazil,,,,,artist not found!
everybody uh oh,,,,,artist not found!
exhaust,,,,,artist not found!
gyrgy ligeti,,,,,artist not found!
k rad,,,,,artist not found!
centaur,,,,,artist not found!
mus,,,,,artist not found!
yume bitsu,,,,,artist not found!
astrobotnia,,,,,artist not found!
eyes adrift,,,,,artist not found!
tara jane o'neil & daniel littleton,,,,,artist not found!
xinlisupreme,,,,,artist not found!
mr. t experience,,,,,artist not found!
the the,soul mining (30th anniversary deluxe edition) [box set],"Jul 1, 2014",92.0,8.1,
the the,nakedself,"Feb 29, 2000",75.0,7.4,
spectrum [brazil],,,,,artist not found!
catherine irwin,scheherazade,"Feb 5, 2016",83.0,tbd,
catherine irwin,little heater,"Sep 18, 2012",74.0,tbd,
dame fate,,,,,artist not found!
polara,,,,,artist not found!
doug martsch,now you know,"Sep 17, 2002",74.0,8.1,
bogdan raczynski,rave 'till you cry,"Apr 5, 2019",77.0,tbd,
signer,,,,,artist not found!
floating flower,,,,,artist not found!
euphone,,,,,artist not found!
non,bangai-o hd: missile fury (x360),"May 4, 2011",78.0,7.7,
yohimbe brothers,,,,,artist not found!
vsnares,,,,,artist not found!
andrew duke,,,,,artist not found!
howard hello,,,,,artist not found!
kilowatthours,,,,,artist not found!
gordon gano,hitting the ground,"Aug 20, 2002",63.0,tbd,
apes of wrath,,,,,artist not found!
the fantmas melvins big band,,,,,artist not found!
the anniversary,your majesty,"Jan 22, 2002",73.0,7.5,
g man (aka gez varley),,,,,artist not found!
wauvenfold,,,,,artist not found!
crispy ambulance,,,,,artist not found!
takagi masakatsu,lumines ii (psp),"Nov 6, 2006",81.0,7.6,
spaceheads,,,,,artist not found!
otomo yoshihide's new jazz ensemble,,,,,artist not found!
enemy,,,,,artist not found!
seelenluft,,,,,artist not found!
brendan walls,,,,,artist not found!
john parish,stonechild,"Jul 5, 2019",82.0,7.4,
john parish,bird dog dante,"Jun 15, 2018",75.0,tbd,
john parish,perfect abandon,"Mar 3, 2015",72.0,tbd,
john parish,innocence is kinky,"May 14, 2013",87.0,8.5,
john parish,once upon a little time,"Sep 13, 2005",70.0,tbd,
john parish,how animals move,"Sep 10, 2002",74.0,tbd,
nod,,,,,artist not found!
reindeer section,,,,,artist not found!
zelienople,,,,,artist not found!
aden,topsiders,"May 7, 2002",62.0,tbd,
ampbuzz,,,,,artist not found!
2 many djs,,,,,artist not found!
vincent gallo,loosies,"Jan 11, 2012",35.0,6.3,
vincent gallo,metropia,"May 12, 2010",47.0,6.1,
vincent gallo,tetro,"Jun 11, 2009",65.0,6.6,
vincent gallo,the brown bunny,"Aug 27, 2004",51.0,tbd,
vincent gallo,trouble every day,"Nov 30, 2001",40.0,6.7,
vincent gallo,buffalo '66,"Jun 26, 1998",68.0,tbd,
track star,,,,,artist not found!
the prom,,,,,artist not found!
copywrite,,,,,artist not found!
jason loewenstein,spooky action,"Jun 16, 2017",74.0,tbd,
jason loewenstein,defend yourself,"Sep 17, 2013",71.0,tbd,
jason loewenstein,at sixes and sevens,"Jul 9, 2002",64.0,tbd,
sasha,airdrawndagger,"Aug 6, 2002",64.0,8.6,
dot allison,we are science,"Nov 5, 2002",67.0,tbd,
arco flute foundation,,,,,artist not found!
electric birds,,,,,artist not found!
fan club orchestra,,,,,artist not found!
"bright eyes, britt daniel",,,,,artist not found!
hockey night,,,,,artist not found!
superdrag,last call for vitriol,"Jul 9, 2002",73.0,tbd,
varnaline,,,,,artist not found!
king of woolworths,,,,,artist not found!
sunday's best,,,,,artist not found!
alfie,,,,,artist not found!
oe,,,,,artist not found!
nate ruth,,,,,artist not found!
twinemen,,,,,artist not found!
boom box 2000,,,,,artist not found!
cinerama,torino,"Jul 2, 2002",76.0,tbd,
cinerama,disco volante,"Oct 24, 2000",71.0,8.8,
the fire show,,,,,artist not found!
caesura,,,,,artist not found!
manual,,,,,artist not found!
milky wimpshake,,,,,artist not found!
chris smith,infamous: second son (ps4),"Mar 21, 2014",80.0,8.0,
chris smith,lightning returns: final fantasy xiii (x360),"Feb 11, 2014",69.0,6.7,
chris smith,lightning returns: final fantasy xiii (ps3),"Feb 11, 2014",66.0,6.1,
chris smith,bravely default (3ds),"Feb 7, 2014",85.0,8.5,
chris smith,teenage mutant ninja turtles: out of the shadows (x360),"Aug 28, 2013",38.0,5.3,
chris smith,fire emblem: awakening (3ds),"Feb 4, 2013",92.0,9.1,
chris smith,ninja gaiden 3: razor's edge (wiiu),"Nov 18, 2012",69.0,7.5,
chris smith,steel battalion: heavy armor (x360),"Jun 19, 2012",38.0,2.5,
chris smith,ninja gaiden 3 (ps3),"Mar 20, 2012",58.0,4.9,
chris smith,blood drive (ps3),"Nov 2, 2010",47.0,7.0,
chris smith,xenosaga episode ii: jenseits von gut und bose (ps2),"Feb 15, 2005",73.0,7.5,
chris smith,enter the matrix (gc),"May 14, 2003",63.0,8.0,
chris smith,xenosaga episode i: der wille zur macht (ps2),"Feb 26, 2003",83.0,8.7,
chris smith,tom clancy's splinter cell (pc),"Feb 19, 2003",91.0,8.5,
chris smith,tom clancy's splinter cell (xbox),"Nov 17, 2002",93.0,8.6,
winter blanket,,,,,artist not found!
kleenexgirlwonder,,,,,artist not found!
calvin johnson,a wonderful beast,"Oct 12, 2018",69.0,tbd,
calvin johnson,music's not for everyone,"Feb 22, 2011",65.0,tbd,
the pupils,,,,,artist not found!
jana mccall,,,,,artist not found!
six by seven,,,,,artist not found!
"jay bennett, edward burch",,,,,artist not found!
the reverend horton heat,rev,"Jan 21, 2014",80.0,4.7,
the reverend horton heat,revival,"Jun 29, 2004",71.0,tbd,
the reverend horton heat,lucky 7,"Feb 26, 2002",67.0,8.3,
makers,,,,,artist not found!
arlo,,,,,artist not found!
from monument to masses,,,,,artist not found!
destiny's child,,,,,artist not found!
the joggers,with a cape and a cane,"Sep 27, 2005",70,7.9,
the band,music from big pink [50th anniversary],"Aug 31, 2018",99,7.8,
the band,the basement tapes complete: the bootleg series vol. 11,"Nov 4, 2014",99,7.6,
the band,live at the academy of music 1971,"Sep 17, 2013",92,7.1,
make a rising,,,,,artist not found!
rev run,madden nfl 06 (x360),"Nov 16, 2005",74,5.2,
rev run,madden nfl 06 (ps2),"Aug 8, 2005",88,8.0,
rev run,madden nfl 06 (xbox),"Aug 8, 2005",86,6.8,
t. raumschmiere,blitzkrieg pop,"Aug 23, 2005",62,tbd,
wayne b,,,,,artist not found!
diamond nights,,,,,artist not found!
joan of arc,1984,"Jun 1, 2018",70,tbd,
joan of arc,he's got the whole this land is your land in his hands,"Jan 20, 2017",60,5.3,
joan of arc,testimonium songs,"Jul 30, 2013",60,tbd,
joan of arc,joan of arc,"Nov 27, 2012",73,tbd,
joan of arc,life like,"May 10, 2011",73,tbd,
joan of arc,flowers,"Jun 9, 2009",61,tbd,
joan of arc,boo! human,"May 20, 2008",71,tbd,
joan of arc,"joan of arc, dick cheney, mark twain...","Aug 24, 2004",70,8.6,
joan of arc,in rape fantasy and terror sex we trust,"May 27, 2003",63,tbd,
joan of arc,so much staying alive & lovelessness,"Feb 4, 2003",75,tbd,
liz janes,say goodbye,"Dec 7, 2010",75,tbd,
ninja high school,young adults against suicide,"Oct 18, 2005",59,7.4,
delia gonzalez and gavin russom,,,,,artist not found!
talking heads,the name of this band is talking heads [2004 version],"Aug 17, 2004",93,8.9,
talking heads,once in a lifetime,"Nov 18, 2003",83,8.3,
the deadly snakes,,,,,artist not found!
j live,,,,,artist not found!
cerberus shoal,,,,,artist not found!
neon blonde,,,,,artist not found!
deus,keep you close,"Oct 3, 2011",70,7.2,
deus,vantage point,"Apr 21, 2008",66,8.3,
tren brothers,,,,,artist not found!
swords,,,,,artist not found!
paul wall,i hope they serve beer in hell,"Sep 25, 2009",26,4.6,
hackensaw boys,,,,,artist not found!
amusement parks on fire,,,,,artist not found!
the hospitals,,,,,artist not found!
armand van helden,quack,"Apr 15, 2014",76,8.1,
armand van helden,gandhi kahn,"Oct 2, 2001",63,tbd,
armand van helden,killing puritans,"Jun 6, 2000",62,tbd,
kiss me deadly,,,,,artist not found!
the sun,,,,,artist not found!
ghost of monkshood,,,,,artist not found!
the occasion,,,,,artist not found!
giant drag,,,,,artist not found!
dj spooky,"deconstructing dad: the music, machines and mystery of raymond scott","Jul 13, 2012",65,tbd,
dj spooky,moog,"Sep 24, 2004",51,tbd,
kepler,,,,,artist not found!
broken spindles,kiss/kick,"Feb 17, 2009",63,tbd,
broken spindles,inside/absent,"Aug 23, 2005",66,tbd,
broken spindles,fulfilled/complete,"May 4, 2004",66,tbd,
mommy and daddy,,,,,artist not found!
vibracathedral orchestra,,,,,artist not found!
