artist,album,year,critic_score,user_score,comment
steve reid,Live at the South Bank,"Nov 15, 2011",77,tbd,
travis morrison,Travistan,"Sep 28, 2004",56,4.8,
miss kittin,Calling from the Stars,"Jun 25, 2013",75,tbd,
miss kittin,I Com,"Jun 1, 2004",73,6.8,
"elvis costello, the imposters",,,,,artist not found!
hurricane lamps,,,,,artist not found!
will johnson,Scorpion,"Sep 11, 2012",77,tbd,
will johnson,New Multitudes,"Feb 28, 2012",81,tbd,
will johnson,Candidate Waltz,"Jun 21, 2011",72,tbd,
moris tepper,,,,,artist not found!
shyne,Godfather Buried Alive,"Aug 10, 2004",54,8.5,
annette peacock,,,,,artist not found!
flssin,,,,,artist not found!
call and response,,,,,artist not found!
nedelle & thom,,,,,artist not found!
har mar superstar,Bye Bye 17,"Apr 23, 2013",60,tbd,
har mar superstar,Dark Touches,"Oct 13, 2009",49,tbd,
har mar superstar,The Handler,"Sep 14, 2004",57,6.7,
har mar superstar,You Can Feel Me,"Nov 5, 2002",61,5.5,
chris richards,Man vs. Wild: Season 3,"Aug 6, 2008",tbd,tbd,
chris richards,Man vs. Wild: Season 2,"Nov 9, 2007",tbd,tbd,
chris richards,Man vs. Wild: Season 1,"Oct 27, 2006",tbd,9.1,
chris richards,The Bill: Season 20,"Jan 7, 2004",tbd,tbd,
"gene estribou, jean paul pickens",,,,,artist not found!
fly pan am,C'est ça,"Sep 20, 2019",74,tbd,
fingathing,,,,,artist not found!
charmparticles,,,,,artist not found!
rise against,Wolves,"Jun 9, 2017",76,8.1,
rise against,The Black Market,"Jul 15, 2014",76,7.7,
rise against,Endgame,"Mar 15, 2011",76,8.8,
rise against,Appeal To Reason,"Oct 7, 2008",65,8.8,
terrestre,,,,,artist not found!
rachel goswell,Waves Are Universal,"Jun 22, 2004",66,8.4,
homelife,,,,,artist not found!
keith hudson,Speed Kills,"Nov 16, 2018",19,tbd,
keith hudson,Tragedy Girls,"Oct 20, 2017",58,6.5,
keith hudson,Baby Driver,"Jun 28, 2017",86,7.8,
keith hudson,Sunlight Jr.,"Nov 15, 2013",61,7.0,
keith hudson,Marley & Me,"Dec 25, 2008",53,tbd,
keith hudson,Out of Sight,"Jun 26, 1998",85,8.5,
endochine,,,,,artist not found!
tim berne,Snakeoil,"Feb 7, 2012",80,tbd,
communiqu,,,,,artist not found!
beep beep,Business Casual,"Aug 24, 2004",53,7.0,
crime,,,,,artist not found!
lanterna,,,,,artist not found!
aeroc,,,,,artist not found!
pigeon funk,,,,,artist not found!
whirlwind heat,Types Of Wood,"May 16, 2006",47,tbd,
whirlwind heat,Do Rabbits Wonder,"Apr 15, 2003",62,8.5,
crown city rockers,,,,,artist not found!
aberfeldy,,,,,artist not found!
migala,La Increible Aventura,"May 24, 2004",76,tbd,
migala,Arde,"Jul 10, 2001",77,tbd,
hope of the states,Left,"Jun 19, 2006",61,8.5,
hope of the states,Lost Riots,"Oct 5, 2004",69,8.4,
